vma,make,vmo,model,category
ADA,Ada Horse Trailer,,,Trailer
ADBV,AD Boivin,,,Snowmobile
ADDI,Addison Homes,,,Trailer
ADDI,Penthouse,,,Trailer
ADEP,"Advance Engineered Prod., Ltd.",,,Trailer
ADET,Adette,,,Auto
ADLR,Adler (antique vehicles),,,Auto
ADLY,"Adly Moto, LLC",,,Motorcycle
ADME,Adcock Mansell Enterprises,,,Trailer
ADMI,Admiration Homes,,,Trailer
ADMR,"Admiral Drive Systems, Inc.",,,Trailer
ADMS,Adams Engineering Co.,,,Trailer
ADMT,Adams Trailer Mfg.,,,Trailer
ADSP,Adspa Mobile Home,,,Trailer
ADTM,Advantage Trailer Mfg.,,,Trailer
ADVA,Advance Mfg. Co.,,,Trailer
ADVC,"Advanced Containment Systems, Inc.",,,Trailer
ADVE,Adventure Wheels Motor Home,,,Trucks
ADVL,Adventurer LP,,,Trucks
ADVL,Adventurer LP,,,Trailer
ADVN,Advance Machine Co.,,,Construction
ADVP,"Advance Pump and Equip., Inc.",,,Trailer
ADVS,Advanced Vehicle Systems,,,Trucks
ADVT,Advance Trailer Mfg.,,,Trailer
AEAG,American Eagle,,,Trailer
AEAG,American Eagle,,,Motorcycle
AECD,A & E Custom Design Trailers,,,Trailer
AELI,Aero Liner Co.,,,Trailer
AEON,"Aeon Motor Co., Inc.",,,Motorcycle
AERA,Aerocar,,,Auto
AERG,Aero Glass Boat Co.,,,Trailer
AERG,Phantom,,,Trailer
AERI,"Aeroil Products Co., Inc.",,,Trailer
AERI,"Aeroil Products Co., Inc.",,,Construction
AERO,Aerocar (for reference only; see AERA),,,
AERO,"Aircraft (see NCIC 2000 Operating Manual, Vehicle File chapter)",,,Auto
AETA,Aeta,,,Auto
AFAB,"AFAB Affordable Fabrication, Inc. or AFAB Petroleum & Steel Fabrication",,,Trailer
AFBX,"Acier Fabrex, Inc.",,,Trailer
AFRD,Affordable Trailers,,,Trailer
AFTM,A & F Trailer Mfg.,,,Trailer
AG--,Air National Guard (see Section 2.1),,,
AGCH,"Ag-Chem Equipment Co., Inc.",,,Farm
AGCH,Terra-Gator,,,Farm
AGCO,"AGCO, Inc.",,,Farm
AGDC,"Aragon Distributing Co., Inc.",,,Trailer
AGRA,"AG-Rain, Inc.",,,Farm
AGRI,Agri-Supply Co.,,,Construction
AGRO,Agrolinea SA,,,Trailer
AGRP,Agri Plastics Mfg.,,,Trailer
AGSY,"Ag-Systems, Inc.",,,Trailer
AGTR,"Ag-Tronic, Inc.",,,Construction
AGTR,"Kearny Div., Ag-Tronic, Inc.",,,Construction
AGTR,Sure-Weigh,,,Trailer
AGYL,Argyle,,,Motorcycle
AHBI,"After Hours Bikes, Inc.",,,Motorcycle
AIH,American Ironhorse LP,,,Motorcycle
AIMX,"Aim-EX or Taotao Ind., Co., Ltd.",,,Motorcycle
AIMX,"Taotao Ind., Co., Ltd. or Aim-EX",,,Motorcycle
AIRC,"Aircap Mfrs., Inc.",,,Farm
AIRE,Aire-Line Mobile Homes,,,Trailer
AIRF,Airflyte Mfg. Co.,,,Trailer
AIRI,Air Support Inds.,,,Trailer
AIRM,"Air-Flo Mfg. Co., Inc.",,,Trailer
AIRO,Air-O-Motor Home,,,Trucks
AIRP,Air-O-Corp,,,Trailer
AIRS,Airstream Travel Trailers,,,Trailer
AIRS,"Airstream, Inc.",,,Trucks
AJAX,Ajax Trailer Co.,,,Trailer
AJIN,A & J Inds. Custom Fiberglassing,,,Trailer
AJIN,Tow-A-Lite,,,Trailer
AJS,AJS (United Kingdom),,,Motorcycle
AJTR,A. J. Travelute Trailer Mfg. Co.,,,Trailer
AJW,AJW,,,Motorcycle
AJXE,Ajax Electric Motor Corp.,,,Construction
AJXX,Ajaxx Tool Company,,,Trailer
AKUM,Akuma Motors,,,Motorcycle
AKXT,Alaska Xtreme Trailer,,,Trailer
ALAB,Alabama Trailer Co.,,,Trailer
ALAC,"All A Cart Mfg., Inc.",,,Trailer
ALAD,Aladdin Trailer Co.,,,Trailer
ALAI,Alair Coach Corp.,,,Trailer
ALAM,"All American Mfg., LLC",,,Motorcycle
ALAN,"Allen Camper Mfg. Co., Inc.",,,Trailer
ALAR,All Around Horse Trailer,,,Trailer
ALAS,Alaskan Camper,,,Trucks
ALBE,"Alberta Trailer Co., Ltd.",,,Trailer
ALBT,Albright Trailer Mfg.,,,Trailer
ALCA,"Alcan American, Inc.",,,Trailer
ALCI,"Allen Coachworks, Inc. (Mexican mfr.)",,,Auto
ALCM,Alcom Inc.,,,Trailer
ALCN,"Alcan Trailers, LLC",,,Trailer
ALCO,Alcoa Trailer,,,Trailer
ALED,Allied,,,Motorcycle
ALEN,Allen Engineering Corp.,,,Construction
ALEX,Alexander-Reynolds Corp.,,,Motorcycle
ALEX,Arco (mfd. by Alexander-Reynolds Corp.),,,Motorcycle
ALEX,E-Z Rider (mfd. by Alexander-Reynolds Corp.),,,Motorcycle
ALFA,Alfa Romeo,,,Auto
ALFA,"Allied Farm Equipment, Inc.",,,Farm
ALFA,Alfa Romeo,136,F136,Auto
ALFA,Alfa Romeo,164,164,Auto
ALFA,Alfa Romeo,26P,2600 Sprint,Auto
ALFA,Alfa Romeo,26S,2600 Spider,Auto
ALFA,Alfa Romeo,4C,4C,Auto
ALFA,Alfa Romeo,AGT,Alfetta GT,Auto
ALFA,Alfa Romeo,ARN,Arna,Auto
ALFA,Alfa Romeo,BER,Berlina,Auto
ALFA,Alfa Romeo,DUE,Duetto,Auto
ALFA,Alfa Romeo,G25,GTV6 2.5,Auto
ALFA,Alfa Romeo,GIP,Giulia Sprint,Auto
ALFA,Alfa Romeo,GIS,Giulia Spider,Auto
ALFA,Alfa Romeo,GIT,Giulietta,Auto
ALFA,Alfa Romeo,GIU,Giulia,Auto
ALFA,Alfa Romeo,GT6,Alfa GT6,Auto
ALFA,Alfa Romeo,GTV,GT Veloce,Auto
ALFA,Alfa Romeo,MIL,Milano,Auto
ALFA,Alfa Romeo,MON,Montreal,Auto
ALFA,Alfa Romeo,SPI,Spider Series,Auto
ALFA,Alfa Romeo,ZAG,Zagato,Auto
ALFB,"ALFAB, Inc.",,,Trailer
ALFL,"Alfa Leisure, Inc.",,,Trucks
ALFL,"Alfa Leisure, Inc.",,,Trailer
ALFO,Alforge Metals Corp.,,,Trailer
ALIE,Allied,,,Snowmobile
ALIS,Allis-Chalmers,,,Snowmobile
ALJO,Aljo,,,Trailer
ALKO,Alois Kober (AL-KO),,,Snowmobile
ALL,All American Campers,,,Trailer
ALLA,Allard,,,Auto
ALLB,Allied American Builders Corp.,,,Trailer
ALLC,Allied Mfg. Co.,,,Trailer
ALLD,Allied Products,,,Trailer
ALLE,Allegro Motor Home,,,Trucks
ALLF,"Allison's Fiberglass Mfg., Inc.",,,Auto
ALLG,Allegheny Trailers,,,Trailer
ALLI,Allis-Chalmers,,,Trailer
ALLI,Allis-Chalmers Corp.,,,Farm
ALLI,Allis-Chalmers Corp.,,,Construction
ALLK,All Lakes Trailer,,,Trailer
ALLL,"Allied Leisure, Inc.",,,Motorcycle
ALLM,All Steel Mfg. Co.,,,Trailer
ALLM,Rezner,,,Trailer
ALLN,Alloy Machine Products Corp.,,,Trailer
ALLO,"Alloy Trailers, Inc.",,,Trailer
ALLP,"All Purpose Trailer Co., Inc.",,,Trailer
ALLR,"All Star Coach, Inc.",,,Trailer
ALLS,All State,,,Auto
ALLS,Allstate (for reference only; see SEAR),,,
ALLT,All-State Trailer Co.,,,Trailer
ALLU,All States Trailer Co.,,,Trailer
ALLW,"Allentown Brake & Wheel Service, Inc.",,,Trailer
ALMA,Alma,,,Auto
ALMC,"Al-Mac Products, Inc.",,,Trailer
ALMD,"Allmand, Inc.",,,Trailer
ALMD,"Allmand, Inc.",,,Construction
ALME,Alma Trailer Co.,,,Trailer
ALMI,"Almac Inds., Ltd.",,,Trailer
ALMN,"Alumna-Weld, Inc.",,,Trailer
ALMR,Almar Mfg.,,,Trailer
ALMR,"BCI Mfg. (Bultman Co., Inc.)",,,Trailer
ALMU,"Alumacar USA, LLC (low speed vehicles)",,,Auto
ALMX,Alumax Trailers & Mfg.,,,Trailer
ALNA,"Alumina, Inc.",,,Trailer
ALNM,"Allen's Mfg., Inc.",,,Trailer
ALNZ,Allianz Sweepers,,,Trucks
ALOH,Aloha Trailer Co.,,,Trailer
ALOH,Aloha-Trailer Co.,,,Trucks
ALOU,Alout Snow Machine (for reference only),,,
ALOU,Aloutte,,,Motorcycle
ALOY,"Alloy Custom Products, Inc. or Alloy Custum Vacuum Products, Inc.",,,Trailer
ALPF,Alpine Mfg. Co.,,,Trailer
ALPH,Alpha,,,Motorcycle
ALPI,Alpine,,,Auto
ALPN,Alpina,,,Snowmobile
ALPY,"All Pro of Yulee, Inc. (DBA-All Pro Trailers)",,,Trailer
ALSE,All Seasons Motor Home,,,Trucks
ALSP,Alsport/Steen (also see Tri-Sport/Steen),,,Motorcycle
ALST,"Allied Steel & Tractor Products, Inc.",,,Construction
ALTA,Alta,,,Auto
ALTC,The Aluminum Trailer Co.,,,Trailer
ALTE,Altec Inds.,,,Trailer
ALTE,Cargo Pole Trailer,,,Trailer
ALTG,Aluminum Trailer Group,,,Trailer
ALTK,Allied Tank,,,Trucks
ALTK,Allied Tank,,,Trailer
ALTY,Alturdyne,,,Trailer
ALUC,Aluma Craft,,,Trailer
ALUE,Alouette,,,Snowmobile
ALUE,"Alouette Recreational Products, Ltd.",,,Snowmobile
ALUL,Aluma Ltd.,,,Trailer
ALUM,Aluminum,,,Trailer
ALUT,"Alutrec, Inc.",,,Trailer
ALVI,Alvis,,,Auto
ALWY,"Alloway Mfg. Co., Inc.",,,Farm
ALYT,Aly Travel Trailer,,,Trailer
AM,A & M Boat Trailer,,,Trailer
AMAU,"American Augers, Inc.",,,Construction
AMBA,Ambassador,,,Trailer
AMBA,Ambassador,,,Motorcycle
AMC,AMC Trailer,,,Trailer
AMCC,American Clipper Corp.,,,Trucks
AMCE,Ameri-Can Engineering,,,Trailer
AMCM,Ameri-Camp,,,Trailer
AMCM,Ameri-Camp,,,Trailer
AMCO,A & M Coach,,,Trailer
AMCP,AMCO Products,,,Farm
AMCR,American Cruiser Motor Home,,,Trucks
AMDB,"American Dirt Bike, Inc.",,,Motorcycle
AMDI,Agricultural Machinery Div.,,,Farm
AMDI,Bean Sprayer,,,Farm
AME,"American Trailers, Inc.",,,Trailer
AMEA,American Beauty,,,Trailer
AMEA,"American Shelter Systems, Inc.",,,Trailer
AMEB,American Body & Trailer Co.,,,Trailer
AMEC,American Aluminum Co.,,,Trailer
AMED,American Coach Co.,,,Trailer
AMEE,American Duralite Corp.,,,Trailer
AMEG,American Eagle Campers (for reference only; see AEAG),,,
AMEH,American Pride Homes,,,Trailer
AMEI,American Pipe & Steel Corp.,,,Trailer
AMEL,American Economobile Hilif,,,Trucks
AMEM,American Trailer & Mfg. Co.,,,Trailer
AMEN,Amen,,,Motorcycle
AMEP,American Way Homes Corp.,,,Trailer
AMER,AMC,,,Farm
AMER,American Motors Corp.,,,Farm
AMER,American Motors General Bus,,,Trucks
AMER,American Motors Jeep (mfd. 1970-1988),,,Trucks
AMER,Rambler (vehicle years 1966 and later),,,Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),--,"Medallion (vehicle year 1988, see make Eagle)",Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),ALI,Alliance,Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),AMB,Ambassador,Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),AMX,AMX,Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),ARN,American,Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),CON,Concord,Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),EAG,Eagle,Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),ENC,Encore,Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),GRE,Gremlin,Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),HOR,Hornet,Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),JAV,Javelin,Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),MAR,Marlin,Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),MAT,Matador,Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),MED,Medallion (through vehicle year 1987),Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),PAC,Pacer,Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),RA,Rambler American,Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),RC,Rambler Classic,Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),REB,Rebel,Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),RR,Rambler Rogue,Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),SPI,Spirit,Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),SPO,Sportabout,Auto
AMER,American Motors (see make Rambler for Ramblers mfd. prior to 1966),TK,Jeep (for vehicle years 1970-1988),Auto
AMER,American Motors,TRS,Tourist,Auto
AMER,American Motors,TRV,Traveller,Auto
AMES,Amerigo Travel Trailer,,,Trailer
AMET,American Trailer Specialists,,,Trailer
AMF,AMF,,,Motorcycle
AMF,AMF Lawn & Garden Div.,,,Farm
AMF,Roadmaster (see AMF),,,Motorcycle
AMFA,American Dream,,,Trailer
AMFA,"American Family Homes, Inc.",,,Trailer
AMGN,AM General Corp.,,,Trucks
AMGN,AM General Corp.,HUM,Hummer,Auto
AMHL,American Hauler Ind.,,,Trailer
AMHO,American Hoist & Derrick Co.,,,Construction
AMI,"American Microcar, Inc.",,,Motorcycle
AMI,"Tri-Ped (mfd. by American Microcar, Inc.)",,,Motorcycle
AMID,Amida Ind.,,,Trailer
AMIN,Advance Mixer,,,Trucks
AMJE,American Jenbach Corp.,,,Construction
AMLF,"American Lifan Ind., Inc.",,,Motorcycle
AMMA,"Amerind-Mackissic, Inc.",,,Farm
AMME,Ammex,,,Motorcycle
AMPC,Ampco Mfg.,,,Trailer
AMPF,American Performance Cycle,,,Motorcycle
AMPH,Amphicar,,,Auto
AMPI,"American Made Products, Inc.",,,Trailer
AMPT,Amphicat,,,Motorcycle
AMPT,American Transportation,,,Trucks
AMQP,Ameriquip,,,Trailer
AMQT,"American Quantum Cycles, Inc.",,,Motorcycle
AMRB,American Redi-Built,,,Trailer
AMRC,"American Coupler Systems, Inc.",,,Construction
AMRD,"Amrad Products & Supply Co., Inc.",,,Trailer
AMRI,"Americana Mobile Homes, Inc.",,,Trailer
AMRO,"American Road Machinery, Inc.",,,Construction
AMRR,"Ameritrans by TMC Group, Inc.",,,Trucks
AMSC,American Snowblast Corp. (for reference only),,,
AMSC,Snowblast (for reference only),,,
AMSG,American Signal Co.,,,Trailer
AMSP,"American Spirit or MM Spirit, Inc.",,,Trailer
AMSP,"MM Spirit, Inc. or American Spirit",,,Trailer
AMSU,"American Surplus & Mfg., Inc.",,,Trailer
AMSW,American Steel Works,,,Construction
AMT,Amtec Trailer,,,Trailer
