vma,make,vmo,model,category
KDEE,"K-Dee Supply, Inc. or K-Dee Launcher",,,Trailer
KDMA,K-D Mfg. Co.,,,Construction
KEAR,Kearney Trailers Co.,,,Trailer
KEEN,"Keen Perception Industries, Inc.",,,Motorcycle
KEEW,"Keeway America, LLC",,,Motorcycle
KELE,Kelley Mfg.,,,Trailer
KELL,C. C. Kelley & Sons,,,Trailer
KELL,"Kelley, C. C. & Sons",,,Trailer
KELO,"Kellogg-American, Inc.",,,Construction
KELS,Kelson Engineering Co.,,,Trailer
KEMP,Kempf Car Hauler,,,Trailer
KEN,Ken Trailer,,,Trailer
KENA,Kent Air Tool Co.,,,Construction
KENC,"Kden-Craft Products, Inc.",,,Trailer
KEND,"Kendon Ind., Inc.",,,Trailer
KENM,"Kent Mfg. Co., Inc.",,,Farm
KENN,Kenron Corp.,,,Trailer
KENO,Kenskill Trailer Corp.,,,Trailer
KENS,Kensington Motor,,,Trucks
KENS,Kentuckian Mobile Homes (for reference only; see GILD),,,
KENT,Kentucky Mfg. Co.,,,Trailer
KENW,"Kenway Campers, Inc.",,,Trailer
KENY,Kenny Boyce Motorcycles,,,Motorcycle
KEPT,Kempter Trailer,,,Trailer
KERR,John Kerr Mfg. Co.,,,Trailer
KESL,"Kesler Manufacturing, Inc.",,,Trailer
KEVC,"Kevco, Ind.",,,Trailer
KEYI,"Key Inds., Inc.",,,Trailer
KEYO,Keystone Trailer & Equipment Co.,,,Trailer
KEYS,Keystone Coach Mfg. Co.,,,Trailer
KEYW,Keyway Fabrication & Design,,,Trailer
KFBC,Karrosserie Fabrik Biberach/Ottenbacher GmbH,,,Trailer
KGHY,Kings Highway,,,Trucks
KGHY,Kings Highway,,,Trailer
KGMF,K & G Mfg. Co.,,,Trailer
KHBW,"Kit Home Builders West, LLC",,,Trailer
KIA,Kia Motors Corp.,,,Trucks
KIA,Kia Motors Corp.,AMA,Amanti,Auto
KIA,Kia Motors Corp.,AVE,Avella,Auto
KIA,Kia Motors Corp.,BOR,Borrego,Auto
KIA,Kia,CDZ,Cadenza,Auto
KIA,Kia Motors Corp.,CLR,Clarus,Auto
KIA,Kia,FRT,Forte,Auto
KIA,Kia Motors Corp.,OPI,Opirus,Auto
KIA,Kia Motors Corp.,OPT,Optima,Auto
KIA,Kia Motors Corp.,RIO,RIO,Auto
KIA,Kia Motors Corp.,RON,Rondo,Auto
KIA,Kia Motors Corp.,SED,Sedona,Auto
KIA,Kia Motors Corp.,SEP,Sephia,Auto
KIA,Kia,SOL,Soul,Auto
KIA,Kia Motors Corp.,SOR,Sorrento,Auto
KIA,Kia Motors Corp.,SPC,Spectra,Auto
KIA,Kia Motors Corp.,SPT,Sportage (sport utility),Auto
KIBB,"Kibbi, Inc.",,,Trucks
KIDR,Kidron,,,Trailer
KIEF,"Kiefer Built, Inc.",,,Trailer
KIKK,Kikker,,,Motorcycle
KIKN,"Kick’ In Kampers, Inc.",,,Trailer
KILG,Kilgore Inds.,,,Trailer
KILL,Kill Brothers,,,Trailer
KIMB,Kimble Chassis,,,Trailer
KIMI,King Midget,,,Auto
KINA,King Fish Boat Trailer,,,Trailer
KINC,Buckingham,,,Trailer
KINC,"King Homes, Inc.",,,Trailer
KIND,"King Richards, Inc.",,,Trailer
KINE,"King Trailer Co., Inc.",,,Trailer
KINF,King-Co,,,Trailer
KING,Kings Highway (for reference only; see KGHY),,,
KING,"Kingring Motorcycle Co., Ltd. or Cixi Kingring Motorcycle Co., Ltd.",,,Motorcycle
KINL,Chongqing Kinlon Science & Tech. Grp. or Kinlon,,,Motorcycle
KINL,Kinlon or Chongqing Kinlon Science & Tech. Grp.,,,Motorcycle
KINS,Kingston Horse Trailer,,,Trailer
KINZ,"Kinze Manufacturing, Inc.",,,Farm
KIOT,Kioti,,,Farm
KIOT,Kioti,,,Construction
KIPC,Kipco,,,Trailer
KIRK,Kirks Trailer Mfg.,,,Trailer
KISM,Kismet Mfg. Co.,,,Trailer
KISS,Kissel Motor Car Co.,,(antique vehicle),Auto
KIT,Kit House Trailer,,,Trailer
KITC,"Kit Car Centre (Pty), Ltd.",,,Auto
KITK,Kitty Cat (Kit Kat),,,Motorcycle
KITM,Companion,,,Trailer
KITM,Golden State,,,Trailer
KITM,Kit Kamper,,,Trailer
KITM,Kit Mfg. Co.,,,Trucks
KITM,"Kit Mfg. Co., Inc.",,,Trailer
KLAE,"Klassen Homes, Ltd.",,,Trailer
KLAS,Klassic Trailer Mfg.,,,Trailer
KLCL,"Kelly-Creswall Co., Inc.",,,Construction
KLEI,"Klein Products, Inc.",,,Construction
KLI,K Line Trailer,,,Trailer
KLIN,Klinger Products,,,Trailer
KLLY,"Kelly Enterprises, Inc.",,,Trailer
KLMK,Klimek Welding & Mfg.,,,Trailer
KLPN,Kolpin,,,Motorcycle
KMAR,Kmart Camper Foldup,,,Trailer
KMBL,"Kimble Mfg., Inc.",,,Trailer
KMCU,"Kawasaki Motors Corp., USA",,,Snowmobile
KMCU,Kawasaki/Sno*Jet,,,Snowmobile
KMGI,KMG International,,,Trailer
KMMC,K & M Mfg. Co.,,,Trailer
KMNM,"KMN Modern Farm Equipment, Inc.",,,Farm
KMPL,Kamplite Mfg. Corp,,,Trailer
KMSI,"Keller Marine Services, Inc.",,,Trailer
KMSR,Kamasura (U.S.A.),,,Motorcycle
KNAP,"Knapheide Truck Equipment Company Southwest",,,Trailer
KNBR,Ken-Bar,,,Motorcycle
KNC,Ken Craft Trailer,,,Trailer
KNCD,"Konced Motorcycle Co., Ltd. or Cixi Konced Motorcycle Co., Ltd.",,,Motorcycle
KNDL,Kendall Trailer Mfg.,,,Trailer
KNEM,Kincaid Equipment Mfg.,,,Trailer
KNG,King Horse Trailer,,,Trailer
KNGA,"King American, LLC",,,Trailer
KNGH,Kingham,,,Trailer
KNGS,Kingsway Travel Trailer,,,Trailer
KNGT,"King Trailers, Inc.",,,Trailer
KNGY,"Kingsley Coach, Inc. or The Kingsley Coach, Inc.",,,Trucks
KNGY,"The Kingsley Coach, Inc. or Kingsley Coach, Inc.",,,Trucks
KNIG,Knight Mfg. Corp.,,,Farm
KNIV,"Knievel Motorcycle Mfg., Inc.",,,Motorcycle
KNLH,"KNL Holdings, LLC",,,Trailer
KNNM,"Kann Mfg., Corp.",,,Trailer
KNNW,"Kenworth Northwest, Inc.",,,Trucks
KNOW,Knowles Mfg. Co.,,,Trailer
KNOW,Knowles Mfg. Co.,,,Farm
KNOX,Knox Homes Corp.,,,Trailer
KNTC,"Kinetic Engineering, Ltd. (Pune, India; mopeds)",,,Motorcycle
KNTI,"Kent Inds., Inc.",,,Trailer
KNXM,"Kinroad Xintian Motorcycle Mfg. Co., Ltd.",,,Motorcycle
KNXX,Knox Automobile Company,,,Auto
KODI,Kodiak Coach & Mfg. Co.,,,Trucks
KODI,Kodiak Coach & Mfg. Co.,,,Trailer
KODL,Fred Kodlin Motorcycles or Fred Kodlin Metallbauer,,,Motorcycle
KOEH,"Farm Equipment Div., Koehring Co.",,,Farm
KOEH,Koehring Co.,,,Farm
KOEH,Koehring Co.,,,Construction
KOEH,"Master Div., Koehring Co.",,,Construction
KOEN,"Koehn Mfg., Inc.",,,Farm
KOFF,KMM,,,Trailer
KOFF,"Koffel Machine & Metal Fabricating, Inc.",,,Trailer
KOHL,Kohler Co.,,,Construction
KOLB,"Kolberg Mfg. Corp., Subsidiary of Portec, Inc.",,,Construction
KOMA,Komatsu American Corp.,,,Construction
KOMA,"Komatsu Forklift (USA), Inc.",,,Construction
KOMA,"Komatsu, Ltd.",,,Construction
KOMC,"K & O Manufacturing Co., Inc.",,,Trailer
KOME,Kometic,,,Snowmobile
KOME,Kometik,,,Snowmobile
KOME,"Moto Kometik, Inc.",,,Snowmobile
KOMF,Komfort Travel Trailer,,,Trailer
KOMP,Kompak Camping Trailer,,,Trailer
KOMR,Komar,,,Motorcycle
KONK,Kon Kwest Mfg.,,,Trailer
KONT,Kontiki Camper Trailer,,,Trailer
KOOL,"Kools Brothers, Inc.",,,Farm
KORY,Kory Farm Equipment Div.,,,Trailer
KOSC,Kosch Co.,,,Farm
KOST,"Koster Mfg., Inc.",,,Trailer
KOTR,King of the Road Trailer Co.,,,Trailer
KOUN,Kountryaire Travel Trailer,,,Trailer
KOVA,"John R. Kovar Mfg. Co., Inc.",,,Farm
KOZY,Kozy Coach Co.,,,Trailer
KPRC,Kay Park-Rec Corp.,,,Trailer
KRAE,"Krager Kustom Koach, Inc.",,,Trucks
KRAE,"Krager Kustom Koach, Inc.",,,Trailer
KRAF,"Kraft/Tech, Inc.",,,Motorcycle
KRAU,"Krause Plow Corp., Inc.",,,Farm
KRDL,Kreidler,,,Motorcycle
KREM,Kremin Welding,,,Trailer
KRFT,"Kraftsman Trailers, Inc.",,,Trailer
KRGM,"Kargo-Max Trailer Enclosures, Ltd.",,,Trailer
KRGO,Kargo Trailers,,,Trailer
KRIS,Kris Kraft Mobile Homes,,,Trailer
KRKM,Kirkham Motorsports,,,Auto
KROB,Kro-Built Co.,,,Trailer
KROM,Kromag (subsidiary of Puch),,,Motorcycle
KROP,"Kropf Mfg. Co., Inc.",,,Trailer
KROS,Kross Kountry,,,Trailer
KROW,Krown Camper,,,Trailer
KRST,"Kristi Trailer Inds., Inc.",,,Trailer
KRUZ,"Kruz, Inc.",,,Trailer
KRYS,"Krystal Koach, Inc./Krystal Enterprises",,,Trucks
KSEA,Kasea Motorsports,,,Motorcycle
KSTN,Karsten or Karsten Homes,,,Trailer
KTM,KTM,,,Motorcycle
KTMX,KTMMEX Motorcycle Mfg.,,,Motorcycle
KTPE,"Kleepsie Tank & Petroleum Equipment, Inc.",,,Trailer
KUBO,Kubota Tractor Corp.,,,Farm
KUHN,"Kuhn Farm Machinery, Inc.",,,Farm
KUKU,"Kuntry Kustom RV, LLC",,,Trailer
KURM,Kurmann Trailer Mfg. Co.,,,Trailer
KURT,Kurtis Kraft,,,Auto
KUST,Kustom Kraft,,,Trailer
KUTK,Kut-Kwick Corp.,,,Farm
KUTZ,"Kutz Farm Equipment, Inc.",,,Trailer
KVCH,Kovatch,,,Trucks
KW,Kenworth Motor Truck Co.,,,Trucks
KWDT,"Dart, KW",,,Trucks
KWDT,KW Dart,,,Trucks
KWIK,Kwik-Loc Corp.,,,Trailer
KWKT,Kwick Kit Cement Mixer,,,Construction
KWMH,K & K Mobile Homes,,,Trailer
KWNS,Kensington Welding & Trailer Co.,,,Trailer
KYMC,Kymco,,,Motorcycle
KYRV,Keystone RV Co.,,,Trailer
KZMI,"Keizer-Morris International, Inc.",,,Trailer
KZRV,"KZ, Inc. or KZ Recreational Vehicles",,,Trailer
LABE,Lady Bea Trailers,,,Trailer
LABT,"Loadmaster Aluminum Boat Trailers, Inc.",,,Trailer
LACC,Laconia Custom Cycles,,,Motorcycle
LACG,"L. A. Cargo Trailers, Inc.",,,Trailer
LACH,Lawn Chief,,,Farm
LACR,La Crosse,,,Trailer
LACY,"Lacey, W. E. & Sons",,,Trailer
LACY,W. E. Lacey & Sons,,,Trailer
LADA,Lada (imported from USSR),NIV,Niva,Auto
LAER,"Let’s Go Aero, Inc.",,,Trailer
LAFR,American La France,,,Trucks
LAFY,Lafayette Motor Home,,,Trucks
LAGO,Lagonda,,,Auto
LAGO,Lagonda,,,
LAGU,Lagusa Motor Coach,,,Trucks
LAKE,Bestrail,,,Trailer
LAKE,Lakeside Inds.,,,Trailer
LAKL,Lakeland Camper & Mfg.,,,Trailer
LAKO,Lakota Corp.,,,Trailer
LAKR,"Lake Raider, Inc.",,,Trailer
LALL,LaSalle,,,Auto
LAMB,Lambretta,,,Motorcycle
LAMO,Lamborghini,129,LM129,Auto
LAMO,"Lamborghini Aventador",AVT,,Auto
LAMO,Lamborghini,COU,Countach,Auto
LAMO,Lamborghini,DIA,Diablo,Auto
LAMO,Lamborghini,ESP,Espada,Auto
LAMO,Lamborghini,GAL,Gallardo,Auto
LAMO,Lamborghini,JAL,Jalpa,Auto
LAMO,Lamborghini,JAR,Jarma,Auto
LAMO,Lamborghini,MIU,Miura SV,Auto
LAMO,Lamborghini,MUR,Murcielago,Auto
LAMO,Lamborghini,ROD,Roadster,Auto
LAMO,Lamborghini,SLH,Silhouette,Auto
LAMR,Lamar Trailers,,,Trailer
LAN,Lane Flatbed Trailer,,,Trailer
LANA,Lancer Mobile Homes,,,Trailer
LANC,Lance Truck Mount Camper (for reference only; see LNCE),,,
LANC,Lanchester,,,Auto
LAND,Landcraft Corp.,,,Trailer
LANE,Lane Horse Trailer,,,Trailer
LANG,"Langley Mfg., Div., M.D. Knowlton Co.",,,Construction
LANH,"Landola Homes, Inc.",,,Trailer
LANL,Easy Rider,,,Farm
LANL,Landoll Corp.,,,Trailer
LANL,Landoll Corp.,,,Farm
LANM,Landmaster,,,Trailer
LANP,Lanes Pacesetter Trailer,,,Trailer
LANR,Lancer,,,Motorcycle
LANS,Landis Steel Co.,,,Trailer
LANT,"Lanheim, Inc.",,,Trailer
LANU,Landau Motor Home,,,Trucks
LAOT,Brindle,,,Trailer
LAOT,"LaOtto Metal Fabricating Co., Inc.",,,Trailer
LARA,Larado Mobile Homes,,,Trailer
LARI,"Lawrimore Mfg., Inc.",,,Trailer
LARK,Lark Trailer,,,Trailer
LARN,"W. F. Larson, Inc.",,,Farm
LARO,"Larson Machine, Inc.",,,Trailer
LARO,"Larson Machine, Inc.",,,Farm
LARS,Larsen Lapline Trailer,,,Trailer
LARV,Firma Lenko,,,Snowmobile
LARV,Larvin,,,Snowmobile
LASA,La Salle,,,Trailer
LASE,Laser,,,Auto
LASH,Lake & Shore Camper,,,Trucks
LASL,La Salle Homes,,,Trailer
LASL,La Vega,,,Trailer
LAVE,Laverda,,,Motorcycle
LAWC,"L. A. Woods Co., Inc.",,,Trailer
LAWC,"Woods, L. A. Co., Inc.",,,Trailer
LAWN,"Lawndale Homes, Inc.",,,Trailer
LAWR,Lawrence Trailer,,,Trailer
LAYO,"Layton Mfg. Co., Inc.",,,Construction
LAYT,Layton Homes Corp.,,,Trailer
LAZE,Lazer,,,Motorcycle
LAZJ,Lazy J Horse Trailer,,,Trailer
LBAU,Le Beau Enterprises,,,Trailer
LBBG,"Lang Bar-B-Q Grills, Inc.",,,Trailer
LBCP,L & B Concepts (dba – Scooterbilt Mfg.),,,Trailer
LBCT,L&B Custom Trailers,,,Trailer
LBHR,Liebherr,,,Construction
LBOS,"Load Boss, Inc.",,,Trailer
LBOY,Lawn Boy,,,Farm
LBRN,Lebaron Ambulances,,,Trucks
LBRY,"Liberty Electric Bikes or Liberty Seamless Ent., Inc.",,,Motorcycle
LBRY,"Liberty Seamless Ent., Inc. or Liberty Electric Bikes",,,Motorcycle
LBT,LBT,,,Trailer
LBTY,"Liberty, Inc.",,,Trailer
LCCC,LC 3 (Formerly Lafayette Country Car Co.),,,Auto
LCHG,Long Chang,,,Motorcycle
LCIN,"Loncin Group Import & Export Co., Ltd.",,,Motorcycle
LCON,"Lucon, Inc.",,,Trailer
LCRT,"L-Cart, Inc.",,,Trailer
LCTS,"Lanchester Trailer Supply, LLC",,,Trailer
LD,L & D Trailers,,,Trailer
LDAZ,Lazy Daze Motor Home,,,Trucks
LDEI,"Long Dog Enterprise, Inc.",,,Trailer
LDIT,Leader Industrial Tires,,,Trucks
LDJM,"LDJ Mfg., Inc.",,,Trailer
LDLN,"Load Line Mfg., Inc.",,,Trailer
LDMS,"Loadmaster, Inc.",,,Trailer
LDMX,"Load Max Trailers, Ltd.",,,Trailer
LDTC,"Loadmaster Trailer Co., Ltd.",,,Trailer
LDTL,"Load Trail, Inc.",,,Trailer
LDVI,"Lynch Diversified Vehicles, Inc.",,,Truck
LEAD,Leader Horse Trailer,,,Trailer
LEAF,Lea-Francis,,,Auto
LEAR,"Lear Siegler, Inc., Hutchinson Div.",,,Farm
LEBR,Leber Coach Mfg.,,,Trucks
LECH,Lechmere Construction,,,Trailer
LECT,Lectracan,,,Motorcycle
LEDW,"Ledwell & Son Enterprises, Inc.",,,Trailer
LEE,Lee,,,Trailer
LEEB,Lee Boy Construction Equipment,,,Construction
LEEC,Lee Coaches,,,Trailer
LEEN,L & E Enterprises,,,Trailer
LEER,"Leer, Inc.",,,Trailer
LEES,Leesburg Div.,,,Trailer
LEHM,"Lehman Trikes USA, Inc.",,,Motorcycle
LEIR,Leisure Craft,,,Trailer
LEIS,Leisuretime Motor Home,,,Trucks
LEIT,Leisure Home Trailer,,,Trailer
LEIU,"Leisure Products, Inc.",,,Trailer
LEKT,Lektracycle,,,Motorcycle
LELA,"Leland Engineering, Inc.",,,Trailer
LELA,Tri-Trak,,,Trailer
LELY,"Lely Corp., The",,,Farm
LEM,Lem,,,Motorcycle
LEM,"Morini Mini (see LEM, imported by Herdan Corp., Port Clinton, PA)",,,Motorcycle
LEMC,Lemco Tool Corp.,,,Trailer
LEND,Len Dar (Lendar) Campers,,,Trailer
LEND,Len Dar Campers or Lendar,,,Trucks
LENT,"Lee Enterprises Mfg. Co., Inc.",,,Trailer
LEON,"Leon Mfg. Co., Ltd. (Canada)",,,Farm
LERY,Le Roi Div.,,,Construction
LERY,Leroi,,,Trailer
LESA,Les Autobus M.C.I.,,,Trucks
LESC,"Lesco, Inc.",,,Farm
LESL,"Lees Leisure Ind., Ltd. or Lees-Ure Lite Prod., Ltd.",,,Trailer
LESR,"Leisure Manor, Inc.",,,Trailer
LETO,"Letourneau, R. G.",,,Construction
LETO,R. G. Letourneau,,,Construction
LEVC,"Levco Mfrs., Inc.",,,Trailer
LEVC,"Levco Mfrs., Inc.",,,Farm
LEVI,Levis,,,Motorcycle
LEWA,Lewaub Trailer Mfg.,,,Trailer
LEWI,Lewis-Shepard,,,Trucks
LEXS,Lexus,,,Trucks
LEXS,Lexus,,,Auto
LEXS,Lexus,250,ES250,Auto
LEXS,Lexus,250,IS250,Auto
LEXS,Lexus,300,ES300,Auto
LEXS,Lexus,330,ES330,Auto
LEXS,Lexus,350,IS350,Auto
LEXS,Lexus,400,LS400,Auto
LEXS,Lexus,CT2,CT200h,Auto
LEXS,Lexus,E35,ES350,Auto
LEXS,Lexus,G35,GS350,Auto
LEXS,Lexus,G43,GS430,Auto
LEXS,Lexus,G45,GS450h,Auto
LEXS,Lexus,G46,GS460,Auto
LEXS,Lexus,G47,GX470,Auto
LEXS,Lexus,GS3,GS300,Auto
LEXS,Lexus,GS4,GS400,Auto
LEXS,Lexus,GX4,GX460,Auto
LEXS,Lexus,H25,HS250h,Auto
LEXS,Lexus,IS3,IS300,Auto
LEXS,Lexus,ISC,ISC,Auto
LEXS,Lexus,ISF,IS-F,Auto
LEXS,Lexus,L43,LS430,Auto
LEXS,Lexus,L43,LS430,Auto
LEXS,Lexus,L45,LX450 (luxury sport utility),Auto
LEXS,Lexus,L46,LS460,Auto
LEXS,Lexus,L47,LX470,Auto
LEXS,Lexus,L57,LX570,Auto
LEXS,Lexus,L60,LS600HL,Auto
LEXS,Lexus,R33,RX330,Auto
LEXS,Lexus,R35,RX350,Auto
LEXS,Lexus,R45,RX450h,Auto
LEXS,Lexus,RX3,RX300,Auto
LEXS,Lexus,RX4,RX400 or RX400H (Hybrid),Auto
LEXS,Lexus,S30,SC300,Auto
LEXS,Lexus,S40,SC400,Auto
LEXS,Lexus,S43,SC430,Auto
LEYL,Leyland,,,Trucks
LEYL,Leyland Tractors,,,Farm
LFET,Lifetime Custom Coach,,,Trailer
LFRV,Lifestyle Luxury RV,,,Trailer
LFTL,Lafayette,,,Trailer
LFTY,"Lefty Brothers Cycles, LLC",,,Motorcycle
LFZA,Laforza,,,Trucks
LFZA,Laforza,,,Auto
LG,L & G Trailer,,,Trailer
LGBO,"Longbo (Parent Co.-Chuanl Motorcycle Mfg., Ltd.)",,,Motorcycle
LGCH,"Long Chih Industrial Co., Ltd.",,,Trailer
LGCY,"Legacy RV, LLC",,,Trailer
LGLX,"Legendary Luxury Coach, LLC",,,Trucks
LGLX,"Legendary Luxury Coach, LLC",,,Trailer
LGMC,Logan Machine Co.,,,Trailer
LGND,"Legend Trailers, Inc.",,,Trailer
LGNM,"Legend Mfg., Inc.",,,Trailer
LGSE,Lagasse Rides,,,Trailer
LGTL,"Lightline Products, Inc.",,,Trailer
LHRN,"Longhorn Tank & Trailer, Inc.",,,Trailer
LIBA,Liberty Coach Co.,,,Trailer
LIBB,Libby Corporation,,,Trailer
LIBC,Liberty Trailer Co.,,,Trailer
LIBE,Liberty Travel Trailers,,,Trailer
LIBH,"Liberty Homes, Inc.",,,Trailer
LIBH,Sylvan Mobile Homes,,,Trailer
LIBY,Liberty Industries,,,Trailer
LICH,"Lichty's Blacksmithing, Inc.",,,Trailer
LICH,Little Champ Camper,,,Trailer
LICH,Strongboy,,,Trailer
LICO,Linco Trailer Home,,,Trailer
LIEB,"Lieber Inds., Inc.",,,Trailer
LIFE,Lifetime Mfg. Co. (for reference only; see LFET),,,
LIFM,"Liftmaster, Inc.",,,Construction
LIFN,"Lifan Ind. Group Co., Ltd.",,,Motorcycle
LIFT,Liftall Forklift (for reference only; see LION),,,
LIFT,"Lifetime Products, Inc.",,,Trailer
LIGC,"Little Giant Crane & Shovel, Inc.",,,Construction
LIGH,Light Equipment Div.,,,Construction
LIGH,Light Equipment Div. (old code DAVI),,,Trailer
LIGH,Maxi-Sneaker,,,Construction
LIGH,Trimline,,,Construction
LIGN,Lightning Rod Motorcycles,,,Motorcycle
LIGP,"Little Giant Products, Inc.",,,Construction
LIGT,"Lighter-Bilt Trailers, Inc.",,,Trailer
LIKN,Likens Transfer & Dump Truck or Empire Likens Mfg.,,,Trucks
LIKN,Likens Transfer & Dump Truck or Empire Likens Mfg.,,,Trailer
LIL,Little Dude Cycle Trailer (for reference only; see LITD),,,
LILA,Lilac,,,Motorcycle
LILB,Lil Bubba,,,Construction
LILC,"Lil' Cat, Inc.",,,Trailer
LILL,Lilliston Corp.,,,Farm
LILN,Lil Indian,,,Motorcycle
LILT,Lil-Tag-Along Trailers,,,Trailer
LILZ,Lil'Z,,,Trailer
LIME,"Lime City Equipment, Inc.",,,Trailer
LINC,Lincoln,,,Trucks
LINC,Lincoln-Continental,,,Auto
LINC,Lincoln-Continental,AVA,Aviator,Auto
LINC,Lincoln-Continental,BWD,Blackwood,Auto
LINC,Lincoln-Continental,CON,Continental,Auto
LINC,Lincoln-Continental,CUS,Custom,Auto
LINC,Lincoln-Continental,LS,LS,Auto
LINC,Lincoln-Continental,LS6,LS6,Auto
LINC,Lincoln-Continental,LS8,LS8,Auto
LINC,Lincoln-Continental,MK2,Mark II,Auto
LINC,Lincoln-Continental,MK3,Mark III,Auto
LINC,Lincoln-Continental,MK4,Mark IV,Auto
LINC,Lincoln-Continental,MK5,Mark V,Auto
LINC,Lincoln-Continental,MK6,Mark VI,Auto
LINC,Lincoln-Continental,MK7,Mark VII,Auto
LINC,Lincoln-Continental,MK8,Mark VIII,Auto
LINC,Lincoln-Continental,MKL,Mark LT,Auto
LINC,Lincoln,MKS,MKS,Auto
LINC,Lincoln,MKT,MKT,Auto
LINC,Lincoln,MKX,MKX,Auto
LINC,Lincoln,MKZ,MKZ,Auto
LINC,Lincoln-Continental,NAV,Navigator,Auto
LINC,Lincoln-Continental,PRE,Premiere,Auto
LINC,Lincoln-Continental,STA,Standard,Auto
LINC,Lincoln-Continental,TOW,Town Car,Auto
LINC,Lincoln-Continental,VER,Versailles,Auto
LINC,Lincoln-Continental,ZEP,Zephyr,Auto
LIND,Linde,,,Trailer
LINF,Lincraft Inds.,,,Trailer
LINH,Linhai,,,Motorcycle
LINK,Link-Belt,,,Construction
LINM,Apache,,,Farm
LINM,Lindig Mfg. Corp.,,,Farm
LINP,"Lincoln Park Mobile Homes, Inc.",,,Trailer
LINT,Lintzcraft Travel Trailer,,,Trailer
LINV,Linville Horse Trailer,,,Trailer
LINW,"Linwood Mfg., Inc.",,,Trailer
LIOB,Lion Buses,,,Trucks
LIOL,"Lional Enterprises, Inc.",,,Snowmobile
LION,Liftall Forklift,,,Construction
LION,"Lion Mfg. Co., Inc.",,,Construction
LIPP,"Lippert Components Mfg., Inc.",,,Trailer
LIPR,Little Prospector Motor Home,,,Trucks
LIQU,Liquid & Bulk Tank Div.,,,Trailer
LISL,"Lislet Foundries, Ltd.",,,Trailer
LITC,Little Chum Mfg. Co.,,,Trailer
LITD,Little Dude Trailer Co.,,,Trailer
LITD,Texas Royal Boat Trailer,,,Trailer
LITK,"Lift Truck, Inc.",,,Construction
LITP,Little Prince Travel Trailer,,,Trailer
LITS,Little Sport Enterprises,,,Trailer
LITT,"Littleford Brothers, Inc.",,,Trailer
LITT,"Littleford Brothers, Inc.",,,Construction
LITT,Trail-O-Roller,,,Construction
LJWE,LJW Enterprises,,,Trailer
LKWD,Lakewood,,,Trailer
LLFS,L & L Fabrication & Steel Co.,,,Trailer
LLIL,"Lees Leisure Industries, Ltd.",,,Motorcycle
LLMO,Lectric Limos (low speed vehicles),,,Auto
LLOD,Lloyd's Trailer Finishing,,,Trailer
LLOY,Lloyd,,,Auto
LLTR,L & L Trailers,,,Trailer
LMC,LMC,,,Trailer
LMLC,LML Corp.,,,Farm
LMLL,LML Limited,,,Motorcycle
LMMC,L & M Trailer Mfg.,,,Trailer
LNCE,Lance Truck Mount Camper,,,Trailer
LNCI,Lancia,BER,Berlina,Auto
LNCI,Lancia,BET,Beta Series,Auto
LNCI,Lancia,DED,Dedra,Auto
LNCI,Lancia,DEL,Delta,Auto
LNCI,Lancia,FLA,Flavia,Auto
LNCI,Lancia,FLM,Flaminia,Auto
LNCI,Lancia,FUL,Fulvia,Auto
LNCI,Lancia,THM,Thema,Auto
LNCI,Lancia,ZAG,Zagato,Auto
LNCO,Lincoln Electric Co.,,,Construction
LNCO,"Lincoln Electric Co., Inc.",,,Trailer
LNCO,Lincoln Welder,,,Trailer
LNCO,Lincoln Welder,,,Construction
LNCP,Lance Powersports (AKA-Znen Powersports),,,Motorcycle
LNCT,"Lancaster Mfg., Inc.",,,Trailer
LNDA,Landa Cleaning Systems,,,Trailer
LNDA,Landa Cleaning Systems,,,Construction
LNDI,Landini SPA,,,Farm
LNDN,London Taxi,,,Auto
LNDR,Land Rover,,,Trucks
LNDR,Land Rover,DEF,Defender 110,Auto
LNDR,Land Rover,DEF,Defender 90,Auto
LNDR,Land Rover,DIS,Discovery,Auto
LNDR,Land Rover,EVQ,Evoque,Auto
LNDR,Land Rover,FRE,Freelander,Auto
LNDR,Land Rover,LR2,LR2 (Replaces Freelander Model),Auto
LNDR,Land Rover,LR3,LR3,Auto
LNDR,Land Rover,LR4,LR4,Auto
LNDR,Land Rover,RRV,Range Rover,Auto
LNEW,"La New Industries, Inc.",,,Trailer
LNGB,"Landgrebe Mfg., Inc.",,,Trailer
LNGH,Longhorn Trailers,,,Trailer
LNGH,McKinley Enterprises,,,Trailer
LNGN,"Lingtian Motorcycle Co., Ltd. Or Zhejiang Lingtian Motorcycle Co., Ltd.",,,Motorcycle
LNGT,"Longting Power Equip. Co., Ltd.",,,Motorcycle
LNGV,"Lingyu Vehicle Ind., Co., Ltd. Or Zhejiang Lingyu Vehicle Ind., Co., Ltd.",,,Motorcycle
LNGZ,"Liangzi Power Co., Ltd. or Shandong Liangzi Power Co., Ltd.",,,Motorcycle
LNGZ,"Shandong Liangzi Power Co., Ltd. or Liangzi Power Co., Ltd.",,,Motorcycle
LNKW,"Linkletter’s Welding, Ltd.",,,Trailer
LNMR,"Linamar Consumer Products USA, Inc.",,,Trailer
LNPD,Land Pride,,,Farm
LNRD,"Leonard Aluminum Utility Buildings, Inc.",,,Trailer
LNST,Lone Star Trailer,,,Trailer
LNWF,Lone Wolfe,,,Trailer
LOAC,Loadcraft (Bush Hog),,,Trailer
LOAD,Load Rite Trailers,,,Trailer
